nombre;zona_geografica;año;t_min;t_max
Alto Palena Ad.;PreCordillera;1980;5,358333333333333;1,41083333333333e+01
Alto Palena Ad.;PreCordillera;1981;5,200000000000000;1,52909090909091e+01
Alto Palena Ad.;PreCordillera;1982;4,583333333333333;1,41666666666667e+01
Alto Palena Ad.;PreCordillera;1983;5,191666666666667;1,47833333333333e+01
Alto Palena Ad.;PreCordillera;1984;4,683333333333334;1,34500000000000e+01
Alto Palena Ad.;PreCordillera;1985;5,341666666666667;1,45416666666667e+01
Alto Palena Ad.;PreCordillera;1986;4,916666666666666;1,36583333333333e+01
Alto Palena Ad.;PreCordillera;1987;5,483333333333333;1,71222222222222e+01
Alto Palena Ad.;PreCordillera;1988;5,041666666666666;1,45545454545455e+01
Alto Palena Ad.;PreCordillera;1989;4,700000000000000;1,41555555555556e+01
Alto Palena Ad.;PreCordillera;1990;4,866666666666666;1,51555555555556e+01
Alto Palena Ad.;PreCordillera;1991;4,066666666666666;1,41444444444444e+01
Alto Palena Ad.;PreCordillera;1992;4,558333333333334;1,38454545454545e+01
Alto Palena Ad.;PreCordillera;1993;4,950000000000000;1,41400000000000e+01
Alto Palena Ad.;PreCordillera;1994;4,916666666666667;1,43083333333333e+01
Alto Palena Ad.;PreCordillera;1995;4,325000000000000;1,41750000000000e+01
Alto Palena Ad.;PreCordillera;1996;5,058333333333334;1,41250000000000e+01
Alto Palena Ad.;PreCordillera;1997;5,677777777777778;1,44222222222222e+01
Alto Palena Ad.;PreCordillera;1998;5,700000000000000;1,60555555555556e+01
Alto Palena Ad.;PreCordillera;1999;4,266666666666667;1,41555555555556e+01
Alto Palena Ad.;PreCordillera;2000;4,277777777777778;1,28000000000000e+01
Alto Palena Ad.;PreCordillera;2001;4,250000000000000;1,41250000000000e+01
Alto Palena Ad.;PreCordillera;2002;5,183333333333334;1,35833333333333e+01
Alto Palena Ad.;PreCordillera;2003;5,225000000000000;1,39909090909091e+01
Alto Palena Ad.;PreCordillera;2004;6,010000000000000;1,58200000000000e+01
Alto Palena Ad.;PreCordillera;2005;4,890000000000001;1,41181818181818e+01
Alto Palena Ad.;PreCordillera;2006;4,625000000000000;1,38111111111111e+01
Alto Palena Ad.;PreCordillera;2007;5,628571428571428;1,58142857142857e+01
Alto Palena Ad.;PreCordillera;2008;5,262499999999999;1,45000000000000e+01
Alto Palena Ad.;PreCordillera;2009;5,420000000000000;8,10000000000000e+00
Alto Palena Ad.;PreCordillera;2010;6,333333333333334;1,46500000000000e+01
Alto Palena Ad.;PreCordillera;2011;7,900000000000000;2,35000000000000e+01
